GeoAreaName,Region,ISOalpha3,Source,FootNote,Year_of_appointment,chief_justice_name,sex_chief_justice
Puerto Rico,Latin America and the Caribbean,PRI,Judiciary Website,Tribunal Supremo de Justicia,2016,Maite D. Oronoz Rodríguez,FEMALE
Qatar,Western Asia and Northern Africa,QAT,Judiciary Counci Website,Court of Cassation,,Dr. Hassan bin Lahdan Al Mohannadi,MALE
Republic of Korea,Eastern Asia and South-eastern Asia,KOR,Judiciary Website,Supreme Court,1986,Jo Hee-de,MALE
Republic of Moldova,Europe and Northern America,MDA,Supreme Court Site,Supreme Court,2025,Stela Procopciuc,FEMALE
Réunion,Sub-Saharan Africa,REU,Network of Presidents of the Supreme Judicial Courts of the European Union Site,Court of Cassation of France,2022,Christophe Soulard,MALE
Romania,Europe and Northern America,ROU,High Court of Cassation Site,High Court of Cassation,,Lia SAVONEA,FEMALE
Rwanda,Sub-Saharan Africa,RWA,Judiciary Website,Supreme Court,2024,Domitilla Mukantaganzwa,FEMALE
Saint Barthélemy,Latin America and the Caribbean,BLM,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
Saint Kitts and Nevis,Latin America and the Caribbean,KNA,ECSC Site,Eastern Caribbean Supreme Court,,Margaret Alison Price Findlay,FEMALE
Saint Lucia,Latin America and the Caribbean,LCA,ECSC Site,Eastern Caribbean Supreme Court,,Margaret Alison Price Findlay,FEMALE
Saint Vincent and the Grenadines,Latin America and the Caribbean,VCT,ECSC Site,Eastern Caribbean Supreme Court,,Margaret Alison Price Findlay,FEMALE
Sao Tome and Principe,Sub-Saharan Africa,STP,"Embassy of India, LinkedIn",,2025,Manuel Silva Gomes Cravid,MALE
Sark,Europe and Northern America,,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Senegal,Sub-Saharan Africa,SEN,Supreme Court Website,Supreme Court,2024,Mahamadou Mansour MBAYE,MALE
Serbia,Europe and Northern America,SRB,Supreme Court Website,Supreme Court,2021,,FEMALE
Seychelles,Sub-Saharan Africa,SYC,"Judiciary Website, Judiciary Social Media",Supreme Court,2020,Rony Govinden,MALE
Sierra Leone,Sub-Saharan Africa,SLE,Judiciary Website,Supreme Court,2025,Desmond Babatunde Edwards,MALE
Singapore,Eastern Asia and South-eastern Asia,SGP,Judiciary Website,Supreme Court,2012,Sundaresh Menon,MALE
Sint Maarten (Dutch part),Latin America and the Caribbean,SXM,Judiciary Website,Supreme Court,2020,Dineke de Groot,FEMALE
Slovakia,Europe and Northern America,SVK,Constitutional Court Site,Constitutional Court,2019,Ivan Fiačan,MALE
Slovenia,Europe and Northern America,SVN,Judiciary Website,Supreme Court,2023,Dr. Miodrag Đorđević,MALE
Solomon Islands,Oceania excluding Australia and New Zealand,SLB,Government site,High Court,,Augustine Sylver Aulanga,MALE
Somalia,Sub-Saharan Africa,SOM,Judiciary Website,,2018,Bashe Yusuf Ahmed,MALE
South Africa,Sub-Saharan Africa,ZAF,Judiciary Website,Constitutional Court of South Africa,2024,Mandisa Muriel Lindelwa Maya,FEMALE
South Georgia and the South Sandwich Islands,Latin America and the Caribbean,SGS,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
South Sudan,Sub-Saharan Africa,SSD,CJCA Website,Supreme Court,2025,Benjamin Baak Deng,MALE
Spain,Europe and Northern America,ESP,Judiciary Website,Tribunal Supremo de Justicia,,María Isabel Perelló Doménech,FEMALE
Sri Lanka,Central Asia and Southern Asia,LKA,Supreme Court Site,Supreme Court,2017,Priyasath Dep,MALE
Suriname,Latin America and the Caribbean,SUR,Caribbean Court of Justice Site,Caribbean Court of Justice,2025,Winston Anderson,MALE
Svalbard and Jan Mayen Islands,Europe and Northern America,SJM,Supreme Court Website,Supreme Court,2016,Toril Marie Øie,FEMALE
Sweden,Europe and Northern America,SWE,Supreme Court Website,Supreme Court,2018,Anders Eka,MALE
Switzerland,Europe and Northern America,CHE,Federal Supreme Court,Federal Supreme Court,2025,François CHAIX,MALE
